Year,Team,Week,PrevRank,RankDiff,Conference,H/A/N,Fav/Und,OppTeam,Opp Conf,ScoreDiff,WinLose,OT?,TODiff,YPPDiff,PenYdDiff,TOPDiff,GameStatus,WinPer,TimeRem,Rank,,,,,,,,,,,,
2018,Appalachian State,10,44,-6,Sun Belt,A,F,Coastal Carolina,Sun Belt,16,Win,N,1,1.98,13,592,Completed,75,0,42,,,,,,,,,,,,
2018,Missouri,10,50,37,SEC,A,U,Florida,SEC,21,Win,N,0,1.61,18,552,Completed,55.556,0,43,,,,,,,,,,,,
2018,North Texas,10,50,,CUSA,N,P,BYE,CUSA,0,DNP,N,,,,,DNP,77.778,0,44,,,,,,,,,,,,
2018,Pittsburgh,10,49,-1,ACC,A,U,Virginia  ,ACC,10,Win,N,-1,0.65,-8,408,Completed,55.556,0,45,,,,,,,,,,,,
2018,South Carolina,10,50,0,SEC,A,U,Mississippi,SEC,4,Win,N,-1,1.18,16,-670,Completed,62.5,0,46,,,,,,,,,,,,
2018,South Florida,10,32,-18,AAC,H,F,Tulane,AAC,-26,Lose,N,2,-1.59,39,-152,Completed,77.778,0,47,,,,,,,,,,,,
2018,Virginia  ,10,23,-26,ACC,H,F,Pittsburgh,ACC,-10,Lose,N,1,-0.65,8,-408,Completed,66.667,0,48,,,,,,,,,,,TO Margin -3,10.3
2018,California,10,42,32,PAC 12,A,U,Washington State,PAC 12,-6,Lose,N,0,-2.04,-55,158,Completed,55.556,0,50,,,,,,,,,,,,
2018,FIU,10,47,-3,CUSA,H,F,FAU,CUSA,-35,Lose,N,3,-2.91,-34,48,Completed,66.667,0,50,,,,,,,,,,,,
2018,Georgia Southern,10,28,-22,Sun Belt,A,F,La.-Monroe,Sun Belt,-19,Lose,N,-1,-5.41,-23,408,Completed,77.778,0,50,,,,,,,,,,,,
2018,"Miami, FL",10,48,2,ACC,H,F,Duke,ACC,-8,Lose,N,1,1.38,48,252,Completed,55.556,0,50,,,,,,,,,,,,
2018,Oklahoma State,10,34,-16,Big 12,A,F,Baylor,Big 12,-4,Lose,N,0,-0.42,64,252,Completed,55.556,0,50,,,,,,,,,,,,
2018,Stanford,10,33,7,PAC 12,A,U,Washington,PAC 12,-4,Lose,N,3,1.18,-57,-316,Completed,55.556,0,50,,,,,,,,,,,,
2018,Alabama,11,1,-17,SEC,H,F,Mississippi State,SEC,24,Win,N,1,0.86,-50,470,Completed,100,0,1,,,,,,,,,,,,
2018,Clemson,11,2,-15,ACC,A,F,Boston College,ACC,20,Win,N,2,3.99,-27,646,Completed,100,0,2,,,,,,,,,,,,
2018,Notre Dame,11,3,-47,Independent,H,F,Florida State,ACC,29,Win,N,0,2.47,39,240,Completed,100,0,3,,,,,,,,,,,,
2018,Michigan,11,4,-46,Big 10,A,F,Rutgers,Big 10,35,Win,N,-2,2.01,-10,436,Completed,90,0,4,,,,,,,,,,,,
2018,Georgia,11,5,-22,SEC,H,F,Auburn,SEC,17,Win,N,1,2.67,33,990,Completed,90,0,5,,,,,,,,,,,,
2018,Oklahoma,11,6,-44,Big 10,H,F,Oklahoma State,Big 12,1,Win,N,-1,1.68,39,458,Completed,90,0,6,,,,,,,,,,,,
2018,West Virginia,11,7,-43,Big 12,H,F,TCU,Big 12,37,Win,N,0,2.96,0,36,Completed,88.889,0,7,,,,,,,,,,,,
